AirportID,AirportName,City,State
10140,Albuquerque International Sunport,Albuquerque,NM
10299,Ted Stevens Anchorage International,Anchorage,AK
10397,Hartsfield-Jackson Atlanta International,Atlanta,GA
10423,Austin - Bergstrom International,Austin,TX
10529,Bradley International,Hartford,CT
10693,Nashville International,Nashville,TN
10721,Logan International,Boston,MA
10792,Buffalo Niagara International,Buffalo,NY
10800,Bob Hope,Burbank,CA
10821,Baltimore/Washington International Thurgood Marshall,Baltimore,MD
11042,Cleveland-Hopkins International,Cleveland,OH
11057,Charlotte Douglas International,Charlotte,NC
11066,Port Columbus International,Columbus,OH
11193,Cincinnati/Northern Kentucky International,Cincinnati,OH
11259,Dallas Love Field,Dallas,TX
11278,Ronald Reagan Washington National,Washington,DC
11292,Denver International,Denver,CO
11298,Dallas/Fort Worth International,Dallas/Fort Worth,TX
11433,Detroit Metro Wayne County,Detroit,MI
11618,Newark Liberty International,Newark,NJ
11697,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL
12173,Honolulu International,Honolulu,HI
12191,William P Hobby,Houston,TX
12264,Washington Dulles International,Washington,DC
12266,George Bush Intercontinental/Houston,Houston,TX
12339,Indianapolis International,Indianapolis,IN
12451,Jacksonville International,Jacksonville,FL
12478,John F. Kennedy International,New York,NY
12889,McCarran International,Las Vegas,NV
12892,Los Angeles International,Los Angeles,CA
12953,LaGuardia,New York,NY
12954,Long Beach Airport,Long Beach,CA
13198,Kansas City International,Kansas City,MO
13204,Orlando International,Orlando,FL
13232,Chicago Midway International,Chicago,IL
13244,Memphis International,Memphis,TN
13303,Miami International,Miami,FL
13342,General Mitchell International,Milwaukee,WI
13487,Minneapolis-St Paul International,Minneapolis,MN
13495,Louis Armstrong New Orleans International,New Orleans,LA
13796,Metropolitan Oakland International,Oakland,CA
13830,Kahului Airport,Kahului,HI
13851,Will Rogers World,Oklahoma City,OK
13871,Eppley Airfield,Omaha,NE
13891,Ontario International,Ontario,CA
13930,Chicago O'Hare International,Chicago,IL
13931,Norfolk International,Norfolk,VA
14027,Palm Beach International,West Palm Beach/Palm Beach,FL
14057,Portland International,Portland,OR
14100,Philadelphia International,Philadelphia,PA
14107,Phoenix Sky Harbor International,Phoenix,AZ
14122,Pittsburgh International,Pittsburgh,PA
14307,Theodore Francis Green State,Providence,RI
14492,Raleigh-Durham International,Raleigh/Durham,NC
14524,Richmond International,Richmond,VA
14570,Reno/Tahoe International,Reno,NV
14635,Southwest Florida International,Fort Myers,FL
14679,San Diego International,San Diego,CA
14683,San Antonio International,San Antonio,TX
14730,Louisville International-Standiford Field,Louisville,KY
14747,Seattle/Tacoma International,Seattle,WA
14771,San Francisco International,San Francisco,CA
14831,Norman Y. Mineta San Jose International,San Jose,CA
14843,Luis Munoz Marin International,San Juan,PR
14869,Salt Lake City International,Salt Lake City,UT
14893,Sacramento International,Sacramento,CA
14908,John Wayne Airport-Orange County,Santa Ana,CA
15016,Lambert-St. Louis International,St. Louis,MO
15304,Tampa International,Tampa,FL
15376,Tucson International,Tucson,AZ
